dataset,method,causal_lens_effect,manual_effect,abs_diff,match
lalonde,Regression,1480.6609612042494,1480.6609612042494,0.0,True
lalonde,IPW,1463.9472999310256,1463.9472999310256,0.0,True
lalonde,DoublyRobust,1709.503487405228,1709.503487405228,0.0,True
nhefs,Regression,3.3341674140824518,3.3341674140824518,0.0,True
nhefs,IPW,3.2634978711907743,3.2634978711907743,0.0,True
nhefs,DoublyRobust,3.293647427944588,3.293647427944588,0.0,True
