seed,method,marginal_cov,mean_width,ece,cov_power,width_power,rmse_power,cov_water,width_water,rmse_water,cov_telecom,width_telecom,rmse_telecom
0,mondrian_cp,0.8672566371681416,0.8228448629379272,0.07168141592920349,0.88,0.808941662311554,0.2445400506258011,0.9473684210526315,0.9083449840545654,0.25428473949432373,0.72,0.720690906047821,0.27871397137641907
0,chmp_mean,0.8761061946902655,0.831190824508667,0.09292035398230085,0.9,0.8279163837432861,0.2445400506258011,0.9473684210526315,0.9063634276390076,0.25428473949432373,0.72,0.7234769463539124,0.27871397137641907
0,chmp_median,0.8761061946902655,0.828005313873291,0.0734513274336283,0.9,0.8279614448547363,0.2445400506258011,0.9473684210526315,0.9006620645523071,0.25428473949432373,0.72,0.7176550030708313,0.27871397137641907
0,chmp_median_floor,0.8761061946902655,0.828005313873291,0.0734513274336283,0.9,0.8279614448547363,0.2445400506258011,0.9473684210526315,0.9006620645523071,0.25428473949432373,0.72,0.7176550030708313,0.27871397137641907
1,mondrian_cp,0.8849557522123894,0.7654087543487549,0.04159292035398232,0.84,0.6422450542449951,0.22456610202789307,0.8947368421052632,0.9113084077835083,0.2707858979701996,0.96,0.7899687886238098,0.1805989295244217
1,chmp_mean,0.8938053097345132,0.770326554775238,0.11061946902654865,0.84,0.6463561058044434,0.22456610202789307,0.9210526315789473,0.9218595623970032,0.2707858979701996,0.96,0.7879368662834167,0.1805989295244217
1,chmp_median,0.8938053097345132,0.7742186784744263,0.07699115044247784,0.84,0.6463128924369812,0.22456610202789307,0.9210526315789473,0.9316396117210388,0.2707858979701996,0.96,0.7907501459121704,0.1805989295244217
1,chmp_median_floor,0.8938053097345132,0.7742186784744263,0.07699115044247784,0.84,0.6463128924369812,0.22456610202789307,0.9210526315789473,0.9316396117210388,0.2707858979701996,0.96,0.7907501459121704,0.1805989295244217
2,mondrian_cp,0.8849557522123894,0.7764425277709961,0.06460176991150444,0.9,0.7454695105552673,0.227617084980011,0.9736842105263158,0.9504111409187317,0.205358624458313,0.72,0.573956310749054,0.22299347817897797
2,chmp_mean,0.8672566371681416,0.7707302570343018,0.08053097345132741,0.86,0.7335891723632812,0.227617084980011,0.9736842105263158,0.9505386352539062,0.205358624458313,0.72,0.5717037320137024,0.22299347817897797
