seed,alpha,marginal_cov,mean_width,ece,cov_power,width_power,cov_water,width_water,cov_telecom,width_telecom
0,0.05,0.9380530973451328,1.096835970878601,0.07212389380530974,1.0,1.1916345357894897,0.8421052631578947,0.8977452516555786,0.96,1.2098568677902222
0,0.1,0.9026548672566371,0.9182093739509583,0.08407079646017697,0.96,0.9516230821609497,0.8157894736842105,0.774271547794342,0.92,1.0701674222946167
0,0.15,0.8141592920353983,0.7634369134902954,0.14557522123893804,0.84,0.720136284828186,0.7368421052631579,0.709227442741394,0.88,0.9324363470077515
0,0.2,0.7787610619469026,0.603684663772583,0.06725663716814159,0.82,0.6104981899261475,0.7105263157894737,0.6343510746955872,0.8,0.5434451103210449
1,0.05,0.9557522123893806,1.1497042179107666,0.04734513274336283,0.96,1.0969834327697754,0.9210526315789473,1.0079290866851807,1.0,1.4706438779830933
1,0.1,0.9203539823008849,0.8412278294563293,0.05044247787610616,0.92,0.730851948261261,0.9210526315789473,0.9568185210227966,0.92,0.8862816691398621
1,0.15,0.8584070796460177,0.7615786790847778,0.07743362831858405,0.82,0.6623513102531433,0.868421052631579,0.8658309578895569,0.92,0.8015695810317993
1,0.2,0.7610619469026548,0.6175734996795654,0.11327433628318584,0.66,0.5439714193344116,0.7894736842105263,0.6460443139076233,0.92,0.7215020060539246
2,0.05,0.9203539823008849,0.8297379612922668,0.07035398230088495,0.9,0.7943105101585388,0.9736842105263158,0.9585842490196228,0.88,0.7047464847564697
2,0.1,0.8849557522123894,0.7050769329071045,0.048672566371681374,0.84,0.6925349235534668,0.9473684210526315,0.755287230014801,0.88,0.6538410782814026
2,0.15,0.8584070796460177,0.6494942903518677,0.06769911504424776,0.82,0.6728584170341492,0.9473684210526315,0.6584923267364502,0.8,0.5890886783599854
2,0.2,0.7876106194690266,0.5289664268493652,0.07256637168141594,0.7,0.49179327487945557,0.8947368421052632,0.5803460478782654,0.8,0.5252153873443604
3,0.05,0.9203539823008849,0.9964216351509094,0.07300884955752211,0.9,1.0970721244812012,0.9210526315789473,0.7304912209510803,0.96,1.199334979057312
3,0.1,0.8672566371681416,0.7588736414909363,0.06106194690265485,0.86,0.8950228691101074,0.8421052631578947,0.5469778180122375,0.92,0.8086574673652649
3,0.15,0.8672566371681416,0.7133392095565796,0.061504424778761044,0.86,0.8486230373382568,0.8421052631578947,0.4895133972167969,0.92,0.7829868793487549
3,0.2,0.8053097345132744,0.6181207299232483,0.06548672566371681,0.78,0.7186527848243713,0.8157894736842105,0.46803945302963257,0.84,0.6451805830001831
4,0.05,0.9911504424778761,1.1360857486724854,0.04115044247787616,0.98,1.1505757570266724,1.0,1.2608753442764282,1.0,0.9174251556396484
4,0.1,0.9469026548672567,0.7785972952842712,0.06283185840707961,0.92,0.6704484820365906,0.9736842105263158,0.8684383034706116,0.96,0.8583365678787231
4,0.15,0.8849557522123894,0.6818482279777527,0.11814159292035398,0.92,0.6320204734802246,0.7894736842105263,0.6462396383285522,0.96,0.835628867149353
4,0.2,0.8672566371681416,0.5782853364944458,0.10973451327433625,0.88,0.4822741746902466,0.7894736842105263,0.6096934676170349,0.96,0.7225674390792847
5,0.05,0.9380530973451328,1.1258593797683716,0.09159292035398232,1.0,1.305717945098877,0.8157894736842105,0.8345266580581665,1.0,1.2089680433273315
5,0.1,0.8938053097345132,0.7995127439498901,0.11061946902654866,0.94,0.8248330950737,0.8157894736842105,0.748204231262207,0.92,0.8268611431121826
5,0.15,0.831858407079646,0.7145435214042664,0.13407079646017697,0.88,0.7424720525741577,0.7105263157894737,0.6916031241416931,0.92,0.6935555338859558
5,0.2,0.7610619469026548,0.5948871970176697,0.16637168141592923,0.82,0.592820405960083,0.6578947368421053,0.6136419773101807,0.8,0.5705134868621826
6,0.05,0.9911504424778761,0.9955066442489624,0.04911504424778765,0.98,0.992780864238739,1.0,1.0850105285644531,1.0,0.8649119734764099
6,0.1,0.911504424778761,0.7465379238128662,0.05929203539823005,0.9,0.6970866322517395,0.8947368421052632,0.8232018947601318,0.96,0.7289114594459534
6,0.15,0.9026548672566371,0.6632302403450012,0.08805309734513274,0.9,0.6432013511657715,0.868421052631579,0.6511200666427612,0.96,0.7216953039169312
6,0.2,0.8938053097345132,0.6363723278045654,0.12212389380530969,0.88,0.6076502799987793,0.868421052631579,0.6275622248649597,0.96,0.7072080373764038
7,0.05,0.9646017699115044,1.1511982679367065,0.04823008849557525,0.92,0.9233248829841614,1.0,1.2263574600219727,1.0,1.492702841758728
