seed,alpha,marginal_cov,mean_width,ece,cov_power,width_power,cov_water,width_water,cov_telecom,width_telecom
0,0.05,0.9823008849557522,1.1855790615081787,0.04734513274336286,1.0,1.3865824937820435,1.0,1.1296782493591309,0.92,0.8685411810874939
0,0.1,0.9203539823008849,0.8768978714942932,0.036283185840707916,0.92,0.9314011335372925,0.9210526315789473,0.8427950143814087,0.92,0.8197277188301086
0,0.15,0.8407079646017699,0.7065658569335938,0.10840707964601769,0.84,0.705895185470581,0.7894736842105263,0.6704944372177124,0.92,0.7627356648445129
0,0.2,0.7699115044247787,0.5916982293128967,0.11150442477876106,0.74,0.5369000434875488,0.7368421052631579,0.5883297920227051,0.88,0.7064144015312195
1,0.05,0.9557522123893806,1.0168225765228271,0.055309734513274346,0.98,1.1161284446716309,0.9210526315789473,0.9536859393119812,0.96,0.9141792058944702
1,0.1,0.8938053097345132,0.7479375004768372,0.02743362831858404,0.9,0.7216107845306396,0.8947368421052632,0.8510600924491882,0.88,0.6438446044921875
1,0.15,0.8761061946902655,0.645397424697876,0.06327433628318581,0.88,0.6205658316612244,0.868421052631579,0.6971138119697571,0.88,0.6164518594741821
1,0.2,0.7876106194690266,0.5210893750190735,0.09734513274336282,0.74,0.48919877409935,0.8421052631578947,0.5569581389427185,0.8,0.5303499102592468
2,0.05,0.9380530973451328,0.9089326858520508,0.059734513274336286,0.94,0.9476473927497864,0.9736842105263158,1.0558502674102783,0.88,0.6081886291503906
2,0.1,0.8849557522123894,0.7535848021507263,0.06460176991150442,0.84,0.7494260668754578,0.9473684210526315,0.8593494296073914,0.88,0.6011406779289246
2,0.15,0.8407079646017699,0.6400526762008667,0.060619469026548654,0.78,0.6897580623626709,0.9210526315789473,0.6540581583976746,0.84,0.5193533897399902
2,0.2,0.7522123893805309,0.5555991530418396,0.1150442477876106,0.72,0.5732679963111877,0.868421052631579,0.6080920696258545,0.64,0.44047221541404724
3,0.05,0.9380530973451328,0.9649644494056702,0.06238938053097345,0.96,0.9700319170951843,0.9736842105263158,0.9414746165275574,0.84,0.9905341863632202
3,0.1,0.8672566371681416,0.6862170696258545,0.08761061946902655,0.9,0.641664445400238,0.8421052631578947,0.6162348389625549,0.84,0.8816949725151062
3,0.15,0.8672566371681416,0.6529656648635864,0.07566371681415927,0.9,0.6307792067527771,0.8421052631578947,0.5812544822692871,0.84,0.8063398003578186
3,0.2,0.8141592920353983,0.5719939470291138,0.08495575221238937,0.82,0.5250688195228577,0.7894736842105263,0.52406907081604,0.84,0.738690197467804
4,0.05,1.0,1.1536273956298828,0.050000000000000044,1.0,1.193315029144287,1.0,1.1105806827545166,1.0,1.139683485031128
