seed,method,marginal_cov,mean_width,ece,cov_power,width_power,rmse_power,cov_water,width_water,rmse_water,cov_telecom,width_telecom,rmse_telecom
0,mondrian_cp,0.8849557522123894,0.845772385597229,0.04336283185840711,0.92,0.8086046576499939,0.21673133969306946,0.8157894736842105,0.7902900576591492,0.28457963466644287,0.92,1.0044410228729248,0.2618142068386078
0,chmp_mean,0.8849557522123894,0.8513609766960144,0.04336283185840705,0.92,0.8231179714202881,0.21673133969306946,0.8157894736842105,0.7891033291816711,0.28457963466644287,0.92,1.002478837966919,0.2618142068386078
0,chmp_median,0.8849557522123894,0.8504589200019836,0.04159292035398226,0.92,0.8233302235603333,0.21673133969306946,0.8157894736842105,0.7867016196250916,0.28457963466644287,0.92,1.0016279220581055,0.2618142068386078
0,chmp_median_floor,0.8849557522123894,0.8490886688232422,0.05221238938053099,0.92,0.8161793351173401,0.21673133969306946,0.8157894736842105,0.7902910709381104,0.28457963466644287,0.92,1.0042791366577148,0.2618142068386078
1,mondrian_cp,0.8584070796460177,0.6525374054908752,0.05044247787610622,0.84,0.5973902940750122,0.2214042693376541,0.8421052631578947,0.6021130084991455,0.2491426318883896,0.92,0.8394770622253418,0.21276737749576569
1,chmp_mean,0.8672566371681416,0.6571745872497559,0.07699115044247785,0.86,0.600440502166748,0.2214042693376541,0.8421052631578947,0.6045223474502563,0.2491426318883896,0.92,0.8506741523742676,0.21276737749576569
1,chmp_median,0.8672566371681416,0.6561567187309265,0.08053097345132741,0.86,0.6004781723022461,0.2214042693376541,0.8421052631578947,0.6010188460350037,0.2491426318883896,0.92,0.8513232469558716,0.21276737749576569
1,chmp_median_floor,0.8672566371681416,0.6502996683120728,0.05752212389380531,0.86,0.5890570282936096,0.2214042693376541,0.8421052631578947,0.6014349460601807,0.2491426318883896,0.92,0.8470589518547058,0.21276737749576569
2,mondrian_cp,0.8938053097345132,0.6845356225967407,0.05221238938053095,0.86,0.6834550499916077,0.2210068702697754,0.9210526315789473,0.6967368125915527,0.1900354027748108,0.92,0.6681507229804993,0.20755697786808014
2,chmp_mean,0.8938053097345132,0.683226466178894,0.03982300884955749,0.84,0.6768388152122498,0.2210068702697754,0.9210526315789473,0.6963207125663757,0.1900354027748108,0.96,0.6760980486869812,0.20755697786808014
2,chmp_median,0.8849557522123894,0.6819255352020264,0.06106194690265486,0.84,0.676749587059021,0.2210068702697754,0.9210526315789473,0.6934787034988403,0.1900354027748108,0.92,0.6747164726257324,0.20755697786808014
2,chmp_median_floor,0.8849557522123894,0.6825852990150452,0.04867256637168143,0.84,0.6779153943061829,0.2210068702697754,0.9210526315789473,0.6958112120628357,0.1900354027748108,0.92,0.6718218326568604,0.20755697786808014
3,mondrian_cp,0.8849557522123894,0.6781509518623352,0.050442477876106194,0.94,0.7059621214866638,0.2071043998003006,0.8421052631578947,0.5702396035194397,0.20209451019763947,0.84,0.7865540385246277,0.25963354110717773
3,chmp_mean,0.8849557522123894,0.6874316930770874,0.048672566371681394,0.94,0.726025402545929,0.2071043998003006,0.8421052631578947,0.5719485878944397,0.20209451019763947,0.84,0.7857781052589417,0.25963354110717773
3,chmp_median,0.8849557522123894,0.6872093677520752,0.0646017699115044,0.94,0.7262115478515625,0.2071043998003006,0.8421052631578947,0.570589542388916,0.20209451019763947,0.84,0.786467432975769,0.25963354110717773
3,chmp_median_floor,0.8849557522123894,0.6817434430122375,0.06106194690265486,0.94,0.7127999663352966,0.2071043998003006,0.8421052631578947,0.5713435411453247,0.20209451019763947,0.84,0.7874383330345154,0.25963354110717773
4,mondrian_cp,0.9469026548672567,0.8682377338409424,0.046902654867256616,0.92,0.8548706769943237,0.22646698355674744,0.9473684210526315,0.7784956097602844,0.21801260113716125,1.0,1.0313795804977417,0.1844322830438614
4,chmp_mean,0.9469026548672567,0.8727564215660095,0.05752212389380529,0.92,0.8577318787574768,0.22646698355674744,0.9473684210526315,0.7848626971244812,0.21801260113716125,1.0,1.0364036560058594,0.1844322830438614
4,chmp_median,0.9469026548672567,0.8727589249610901,0.046902654867256616,0.92,0.8577625155448914,0.22646698355674744,0.9473684210526315,0.7831014394760132,0.21801260113716125,1.0,1.0390307903289795,0.1844322830438614
4,chmp_median_floor,0.9380530973451328,0.8656337857246399,0.043362831858407065,0.9,0.8460173010826111,0.22646698355674744,0.9473684210526315,0.7806386947631836,0.21801260113716125,1.0,1.0340595245361328,0.1844322830438614
5,mondrian_cp,0.8849557522123894,0.744865894317627,0.030973451327433666,0.92,0.7959396243095398,0.20094920694828033,0.8421052631578947,0.6542989015579224,0.2418251484632492,0.88,0.7803800106048584,0.2588508129119873
5,chmp_mean,0.8938053097345132,0.7505944967269897,0.0557522123893805,0.94,0.8085604310035706,0.20094920694828033,0.8421052631578947,0.6512284874916077,0.2418251484632492,0.88,0.7856991291046143,0.2588508129119873
5,chmp_median,0.8849557522123894,0.7487499713897705,0.09999999999999998,0.94,0.8082501292228699,0.20094920694828033,0.8157894736842105,0.6491333842277527,0.2418251484632492,0.88,0.7811669111251831,0.2588508129119873
5,chmp_median_floor,0.8761061946902655,0.7438235282897949,0.06991150442477875,0.92,0.7960028052330017,0.20094920694828033,0.8157894736842105,0.6502184867858887,0.2418251484632492,0.88,0.7817447185516357,0.2588508129119873
6,mondrian_cp,0.9203539823008849,0.6883906126022339,0.02566371681415926,0.94,0.6710593700408936,0.19233258068561554,0.8947368421052632,0.6700186729431152,0.21225330233573914,0.92,0.750978946685791,0.2128777951002121
6,chmp_mean,0.9203539823008849,0.6798935532569885,0.06814159292035396,0.94,0.6516584753990173,0.19233258068561554,0.8947368421052632,0.6685277223587036,0.21225330233573914,0.92,0.7536399364471436,0.2128777951002121
6,chmp_median,0.9203539823008849,0.6791656613349915,0.05398230088495572,0.94,0.651726484298706,0.19233258068561554,0.8947368421052632,0.6646234393119812,0.21225330233573914,0.92,0.7561479806900024,0.2128777951002121
6,chmp_median_floor,0.9203539823008849,0.6828100681304932,0.053982300884955724,0.94,0.6608657836914062,0.19233258068561554,0.8947368421052632,0.6655135154724121,0.21225330233573914,0.92,0.752989649772644,0.2128777951002121
7,mondrian_cp,0.8672566371681416,0.7778677940368652,0.07699115044247788,0.82,0.6806830763816833,0.250581830739975,0.8421052631578947,0.6853193044662476,0.22806574404239655,1.0,1.1129112243652344,0.17854803800582886
7,chmp_mean,0.8672566371681416,0.769268274307251,0.07699115044247784,0.82,0.661112368106842,0.250581830739975,0.8421052631578947,0.6902515888214111,0.22806574404239655,1.0,1.1056855916976929,0.17854803800582886
7,chmp_median,0.8672566371681416,0.767692506313324,0.09292035398230085,0.82,0.6608750224113464,0.250581830739975,0.8421052631578947,0.6831344962120056,0.22806574404239655,1.0,1.1098557710647583,0.17854803800582886
7,chmp_median_floor,0.8672566371681416,0.7735778093338013,0.0929203539823009,0.82,0.6704491972923279,0.250581830739975,0.8421052631578947,0.6858025789260864,0.22806574404239655,1.0,1.1132529973983765,0.17854803800582886
8,mondrian_cp,0.9203539823008849,0.6905287504196167,0.06460176991150438,0.94,0.7364248633384705,0.17821712791919708,0.9736842105263158,0.6688263416290283,0.165186807513237,0.8,0.6317247152328491,0.25916534662246704
8,chmp_mean,0.9292035398230089,0.6960341334342957,0.0964601769911504,0.96,0.7447637915611267,0.17821712791919708,0.9736842105263158,0.6681193709373474,0.165186807513237,0.8,0.6410050392150879,0.25916534662246704
8,chmp_median,0.9292035398230089,0.6953462362289429,0.0964601769911504,0.96,0.7444679141044617,0.17821712791919708,0.9736842105263158,0.6648412942886353,0.165186807513237,0.8,0.6434702277183533,0.25916534662246704
8,chmp_median_floor,0.9203539823008849,0.6895502209663391,0.10176991150442474,0.94,0.7329466342926025,0.17821712791919708,0.9736842105263158,0.6665995717048645,0.165186807513237,0.8,0.6376428008079529,0.25916534662246704
9,mondrian_cp,0.8672566371681416,0.6774322390556335,0.06460176991150444,0.8,0.5535728335380554,0.25276175141334534,0.9473684210526315,0.826191246509552,0.2096802294254303,0.88,0.6990372538566589,0.2284793257713318
9,chmp_mean,0.8584070796460177,0.6700247526168823,0.07522123893805306,0.8,0.5465843081474304,0.25276175141334534,0.9473684210526315,0.8143690824508667,0.2096802294254303,0.84,0.6975019574165344,0.2284793257713318
