seed,lambda,marginal_cov,mean_width,ece,cov_power,width_power,cov_water,width_water,cov_telecom,width_telecom
0,0.0,0.8938053097345132,0.8460444808006287,0.07699115044247787,0.98,0.8640962839126587,0.868421052631579,0.8682220578193665,0.76,0.7762309908866882
0,0.1,0.8849557522123894,0.8350926637649536,0.08407079646017698,0.96,0.8421317934989929,0.868421052631579,0.8653232455253601,0.76,0.7750639915466309
0,0.3,0.8849557522123894,0.8369866013526917,0.09999999999999998,0.96,0.8517309427261353,0.868421052631579,0.8597947359085083,0.76,0.7728296518325806
0,0.5,0.8938053097345132,0.8418654799461365,0.09115044247787608,0.98,0.8677612543106079,0.868421052631579,0.8545989990234375,0.76,0.7707188129425049
0,1.0,0.8938053097345132,0.8441465497016907,0.0893805309734513,0.98,0.88422030210495,0.868421052631579,0.8428830504417419,0.76,0.7659192085266113
1,0.0,0.9026548672566371,0.6906496286392212,0.029203539823008863,0.92,0.7013561129570007,0.8947368421052632,0.7645039558410645,0.88,0.5569781064987183
1,0.1,0.9026548672566371,0.6941325068473816,0.08584070796460175,0.92,0.7081302404403687,0.8947368421052632,0.7652265429496765,0.88,0.5580737590789795
1,0.3,0.9026548672566371,0.7010646462440491,0.08584070796460175,0.92,0.721678614616394,0.8947368421052632,0.7666219472885132,0.88,0.560189425945282
1,0.5,0.9026548672566371,0.7079548239707947,0.10353982300884955,0.92,0.7352269887924194,0.8947368421052632,0.7679555416107178,0.88,0.5622098445892334
1,1.0,0.9026548672566371,0.7250148057937622,0.06637168141592918,0.92,0.7690977454185486,0.8947368421052632,0.7710438966751099,0.88,0.5668846964836121
2,0.0,0.8938053097345132,0.7717335820198059,0.057522123893805344,0.86,0.7083540558815002,0.9736842105263158,0.9274818897247314,0.84,0.6617558002471924
2,0.1,0.9026548672566371,0.7756801247596741,0.06991150442477874,0.86,0.7134483456611633,0.9736842105263158,0.9312045574188232,0.88,0.6637465953826904
2,0.3,0.9026548672566371,0.78348708152771,0.06991150442477874,0.86,0.7236369252204895,0.9736842105263158,0.9384652972221375,0.88,0.667620837688446
2,0.5,0.9026548672566371,0.7906020283699036,0.06991150442477874,0.86,0.7325097918510437,0.9736842105263158,0.9454889893531799,0.88,0.6713584065437317
2,1.0,0.911504424778761,0.7898489236831665,0.046902654867256616,0.88,0.7211624979972839,0.9736842105263158,0.9523960947990417,0.88,0.6801496744155884
3,0.0,0.8849557522123894,0.8011572360992432,0.045132743362831865,0.9,0.6953915357589722,0.8157894736842105,0.7646562457084656,0.96,1.0681709051132202
3,0.1,0.8938053097345132,0.8021801114082336,0.10530973451327431,0.9,0.6956855058670044,0.8421052631578947,0.7668205499649048,0.96,1.068915843963623
3,0.3,0.8938053097345132,0.8041760325431824,0.0964601769911504,0.9,0.6962711811065674,0.8421052631578947,0.7710355520248413,0.96,1.0703591108322144
3,0.5,0.8938053097345132,0.8061087727546692,0.0964601769911504,0.9,0.6968538165092468,0.8421052631578947,0.7751057147979736,0.96,1.0717437267303467
3,1.0,0.8938053097345132,0.8098647594451904,0.09292035398230085,0.9,0.6982951164245605,0.8421052631578947,0.7822551131248474,0.96,1.0749706029891968
4,0.0,0.9646017699115044,0.9069051146507263,0.06460176991150439,0.96,0.91628098487854,0.9473684210526315,0.8177869915962219,1.0,1.0236127376556396
4,0.1,0.9646017699115044,0.909165620803833,0.07876106194690263,0.96,0.9187231659889221,0.9473684210526315,0.8202381134033203,1.0,1.025220513343811
4,0.3,0.9557522123893806,0.9079675674438477,0.07168141592920352,0.94,0.9108267426490784,0.9473684210526315,0.8250174522399902,1.0,1.028333306312561
4,0.5,0.9557522123893806,0.9068928360939026,0.06991150442477874,0.94,0.903393566608429,0.9473684210526315,0.8296395540237427,1.0,1.0313162803649902
4,1.0,0.9557522123893806,0.9046761989593506,0.08053097345132741,0.94,0.8866174221038818,0.9473684210526315,0.8405562043190002,1.0,1.038256049156189
